artifact_size,beta,correct,delta,duration,filter_noise,filter_radius,filter_radius_noise,filter_samples,gamma,526,grain,image_samples,intensity,intensityChange,is_reference,label,line_angle,nTrials,pThreshold,questTrialId,selection,startVal,startValSd,stopInterval,user,velocity,x,y
8,3.5,1,0.01,2.66124486923218,0,125,0,100,0.5,551,0.1,1,0.087512036448984,decrease,True,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,0,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,4.18915700912476,0,125,0,100,0.5,563,0.1,1,0.6,decrease,False,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,9,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,1.82295989990234,0,125,0,100,0.5,564,0.1,1,0.52160602103175,decrease,False,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,10,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,2.51130366325378,0,125,0,100,0.5,565,0.1,1,0.422663765300366,decrease,False,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,11,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,1.93446350097656,0,125,0,100,0.5,566,0.1,1,0.339081589757904,decrease,False,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,12,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,2.98930764198303,0,125,0,100,0.5,567,0.1,1,0.263106634003767,decrease,False,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,13,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,3.68627405166626,0,125,0,100,0.5,568,0.1,1,0.201104070625511,increase,False,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,14,image,0.6,0.4,0.1,ab,0,431.57958984375,330.83642578125
8,3.5,0,0.01,3.97231459617615,0,125,0,100,0.5,584,0.1,1,0.373312093752049,decrease,False,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,15,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,0.908369779586792,0,125,0,100,0.5,585,0.1,1,0.330258570966739,decrease,False,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,16,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,1.64461922645569,0,125,0,100,0.5,586,0.1,1,0.291432347272083,decrease,False,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,17,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,1.41120338439941,0,125,0,100,0.5,587,0.1,1,0.266381567422042,decrease,False,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,18,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,1.72581815719605,0,125,0,100,0.5,588,0.1,1,0.245128988499753,decrease,False,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,19,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,4.94093298912048,0,125,0,100,0.5,589,0.1,1,0.223734707583929,decrease,False,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,20,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,4.43200635910034,0,125,0,100,0.5,590,0.1,1,0.199842426797519,decrease,False,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,21,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,4.7796676158905,0,125,0,100,0.5,591,0.1,1,0.184027707239099,decrease,False,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,22,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,1.28485989570618,0,125,0,100,0.5,592,0.1,1,0.170662944036889,increase,False,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,23,image,0.6,0.4,0.1,ab,0,459.7705078125,490.733032226563
